 dmw idm ivc net ml theory
"Jakub Kolodziejski" 0 0 0 3 0 0
"Jakub Konecn" 0 0 0 0 1 0
"Jakub Kozik" 0 0 0 0 0 1
"Jakub Kukul" 1 0 0 0 0 0
"Jakub Kulesza" 0 1 0 0 0 0
"Jakub Lacki" 0 0 0 0 2 13
"Jakub Lopuszanski" 0 0 0 0 0 1
"Jakub M. Tomczak" 0 0 0 0 4 0
"Jakub Michaliszyn" 0 0 0 0 0 2
"Jakub Novak" 0 0 0 1 0 0
"Jakub Ocwieja" 0 0 0 0 0 1
"Jakub Onufry Wojtaszczyk" 0 0 0 0 0 4
"Jakub Oprsal" 0 0 0 0 0 3
"Jakub Pachocki" 2 0 0 0 0 6
"Jakub Radoszewski" 0 0 0 0 0 2
"Jakub Segen" 0 0 1 0 0 0
"Jakub Sliacan" 0 0 0 0 0 1
"Jakub Swiatkowski" 0 0 0 0 2 0
"Jakub Szymaszek" 0 1 0 0 0 0
"Jakub Tarnawski" 0 0 0 0 5 6
"Jakub Teska" 0 0 0 0 0 1
"Jakub Tomczak" 0 0 1 0 0 0
"Jakub Vit" 0 0 0 0 1 0
"Jakub W. Pachocki" 0 0 0 0 0 1
"Jalaj Bhandari" 0 0 0 0 1 0
"Jalaj Upadhyay" 0 0 0 0 4 2
"Jalal Etesami" 0 0 0 0 2 0
"Jalal Fadili" 0 0 1 0 4 0
"Jalal Khamse-Ashari" 0 0 0 1 0 0
"Jalal Mahmud" 3 0 0 0 0 0
"Jalal S. Alowibdi" 4 0 0 0 0 0
"Jalal Suliman Alowibdi" 1 0 0 0 0 0
"Jaldert O. Rombouts" 0 0 0 0 2 0
"Jaley H. Dholakiya" 0 0 1 0 0 0
"Jalil Modares" 0 0 0 3 0 0
"Jalil Moraney" 0 0 0 2 0 0
"Jamal Ahmed Rahim" 0 0 1 0 0 0
"Jamal Atif" 1 0 0 0 3 0
"Jamal Golestani 0002" 0 0 0 1 0 0
"Jamal Golmohammadi" 1 0 0 0 0 0
"Jamal Mohd-Yusof" 0 0 0 0 1 0
"Jameel Malik" 0 0 1 0 0 0
"Jameel Syed" 1 0 0 0 0 0
"Jameer Babu Pinjari" 0 0 1 0 0 0
"James A. Bagnell" 0 0 1 0 0 0
"James A. Duncan" 0 0 1 0 0 0
"James A. Grant" 0 0 0 0 1 0
"James A. Hendler" 11 0 0 0 0 0
"James A. Landay" 1 0 0 0 0 0
"James A. Shine" 1 0 0 0 0 0
"James A. Storer" 0 0 2 0 0 0
"James A. Thomson" 1 0 0 0 0 0
"James Abello" 2 0 0 0 0 0
"James Aisenberg" 0 0 0 0 0 1
"James Allan" 1 0 0 0 0 0
"James Allen Fill" 0 0 0 0 0 3
"James An" 0 0 0 0 1 0
"James Andrew Bagnell" 0 0 0 0 1 0
"James Appleton" 1 0 0 0 0 0
"James Aspnes" 0 0 0 1 2 13
"James Atwood" 1 0 0 0 1 0
"James B. Martin" 0 0 0 0 0 1
"James B. Orlin" 0 0 0 2 0 9
"James B. Wendt" 6 0 0 0 0 0
"James Bailey 0001" 19 1 3 0 6 0
"James Beard" 0 1 0 0 0 0
"James Beck" 0 0 0 1 0 0
"James Bergstra" 0 0 0 0 5 0
"James Biagioni" 1 0 0 0 0 0
"James Black" 0 0 1 0 0 0
"James Blair Christian" 0 1 0 0 0 0
"James Bonaiuto" 0 0 1 0 0 0
"James Booth 0001" 0 0 2 0 0 0
"James Bost" 1 0 0 0 0 0
"James Bradbury" 0 0 0 0 1 0
"James Bradbury 0002" 0 0 0 0 2 0
"James Brown" 0 0 0 1 0 0
"James Browne" 1 0 0 0 0 0
"James C. Bezdek" 3 0 0 0 0 0
"James C. Davis" 0 1 0 0 0 0
"James C. Dehnert" 0 1 0 0 0 0
"James C. Gee" 0 0 8 0 0 0
"James C. Hoe" 0 0 1 0 0 0
"James C. Houk" 0 0 0 0 1 0
"James C. Ross" 1 0 1 0 1 0
"James C. Tilton" 2 0 0 0 0 0
"James Cai" 0 0 0 1 0 0
"James Caverlee" 23 0 0 0 0 0
"James Charles" 0 0 1 0 0 0
"James Cheney" 1 4 0 0 0 1
"James Cheng" 11 14 0 0 5 0
"James Cheshire" 0 0 0 0 1 0
"James Chilson" 1 0 0 0 0 0
"James Chua" 1 0 0 0 0 0
"James Cipar" 0 0 0 0 1 0
"James Cook" 5 0 0 0 0 1
"James Corey" 0 1 0 0 0 0
"James Cox" 1 0 0 0 0 0
"James Cross" 0 0 0 0 1 0
"James D. Fix" 0 0 0 0 0 2
"James D. Herbsleb" 1 0 0 0 0 0
"James D. Park" 0 0 0 0 1 0
"James D. Rawn" 1 0 0 0 0 0
"James D. Weiland" 0 0 2 0 0 0
"James Daly" 0 0 0 2 0 0
"James Davidson" 0 0 1 0 3 0
"James Davis 0001" 0 0 11 0 1 0
"James Demmel" 1 0 0 0 3 0
"James Diebel" 0 0 1 0 1 0
"James E. Davis" 0 0 5 0 0 0
"James E. Galagan" 0 0 0 0 2 0
"James E. Pearce" 1 0 0 0 0 0
"James E. Verdone" 0 0 1 0 0 0
"James Elding" 0 1 0 0 0 0
"James Evans" 1 0 0 0 0 0
"James F. Buckwalter" 0 0 0 1 0 0
"James F. Kurose" 1 0 0 35 0 0
"James F. O'Brien" 0 0 2 0 0 0
"James F. Terwilliger" 0 2 0 0 0 0
"James Fan" 0 0 0 0 1 0
"James Ford" 1 0 0 0 0 0
"James Frew" 0 1 0 0 0 0
"James G. Malcolm" 0 0 2 0 0 0
"James G. Scott" 0 0 0 0 1 0
"James G. Shanahan" 4 0 0 0 0 0
"James Geddes" 1 0 0 0 0 0
"James Geller" 1 2 0 0 0 0
"James Geraci" 1 0 0 0 0 0
"James Gerber" 1 0 0 0 0 0
"James Gill" 0 0 1 0 0 0
"James Gips" 0 0 1 0 0 0
"James Gornet" 0 0 0 0 1 0
"James Goulding" 4 0 0 0 1 0
"James Gregson" 0 0 1 0 0 0
"James Griffioen" 0 0 0 4 0 0
"James Gross" 0 0 0 7 0 0
"James Guo" 0 0 1 0 0 0
"James Guszcza" 1 0 0 0 0 0
"James H. Anderson" 0 0 0 0 0 1
"James H. Elder" 0 0 10 0 0 0
"James H. Faghmous" 2 0 0 0 0 0
"James H. Graham" 0 0 1 0 0 0
"James H. Harrison Jr." 1 0 0 0 0 0
"James H. Horne" 1 0 0 0 0 0
"James H. Kaufman" 2 0 0 0 0 0
"James H. Martin" 2 0 0 0 0 0
"James H. von Brecht" 0 0 0 0 3 0
"James Harrison" 0 0 0 0 1 0
"James Hays" 0 0 21 0 2 0
"James Hegeman" 0 0 0 0 0 1
"James Henderson" 0 0 0 0 2 0
"James Hendricks" 0 0 0 1 0 0
"James Hensman" 0 0 0 0 12 0
"James Hodson" 2 0 0 0 0 0
"James Hogan" 0 0 1 0 0 0
"James Hunter" 0 1 0 0 0 0
"James I. Lathrop" 0 0 0 0 0 1
"James J. Bennett" 1 0 0 0 0 0
"James J. Clark" 0 0 8 0 0 0
"James J. DiCarlo" 0 0 1 0 4 0
"James J. Feenan Jr." 0 1 0 0 0 0
"James J. Little" 0 0 9 0 0 0
"James J. Lu" 0 2 0 0 0 0
"James J. Schauer" 1 0 0 0 0 0
"James Jenn-Jier Lien" 0 0 1 0 0 0
"James Jobin" 0 0 0 1 0 0
"James Jordon" 0 0 0 0 6 0
"James Kasten" 0 0 0 3 0 0
"James Kempf" 0 0 0 1 0 0
"James King 0001" 0 0 0 0 0 1
"James Kirkpatrick" 0 0 0 0 2 0
"James Kostas" 0 0 0 0 2 0
"James L. Crowley" 0 0 4 0 0 0
"James L. Finnerty" 0 1 0 0 0 0
"James L. McClelland" 0 0 0 0 1 0
"James L. Sharpnack" 0 0 0 0 1 0
"James L. Wayman" 0 0 1 0 0 0
"James Laudon" 0 0 0 0 1 0
"James Lewis" 1 0 0 0 0 0
"James Liu" 1 0 0 0 0 0
"James Long" 1 0 0 0 0 0
"James Lu" 0 0 0 0 1 0
"James Lucas" 0 0 0 0 6 0
"James M. Coughlan" 0 0 7 0 5 0
"James M. Decker" 0 0 0 0 1 0
"James M. Kang" 6 0 0 0 0 0
"James M. Rehg" 0 0 36 0 10 0
"James M. Robins" 0 0 0 0 1 0
"James MacDonald" 0 1 0 0 0 0
"James MacGlashan" 0 0 0 0 2 0
"James Marakowitz" 0 0 2 0 0 0
"James Marquardt" 1 0 0 0 0 0
"James Martens" 0 0 0 0 13 0
"James Mathewson" 0 0 0 1 0 0
"James Max Kanter" 0 1 0 0 0 0
"James Mayclin" 0 0 0 0 1 0
"James McCann" 1 0 0 0 0 0
"James McHugh" 1 0 0 0 0 0
"James McInerney" 3 0 0 0 2 0
"James McQueen" 0 0 0 0 2 0
"James Michael Barker" 0 0 0 1 0 0
"James Michaelis" 1 0 0 0 0 0
"James Montante" 0 0 1 0 0 0
"James Moronski" 0 0 0 1 0 0
"James Muller" 0 0 0 0 1 0
"James Murphy McCauley" 0 0 0 4 0 0
"James N. Damon" 0 0 2 0 0 0
"James N. K. Liu" 5 0 0 0 0 0
"James N. Turner" 0 0 1 0 0 0
"James Nastos" 0 0 0 1 0 0
"James Neufeld" 0 0 0 0 4 0
"James Newling" 0 0 0 0 3 0
"James Newman" 1 0 0 0 0 0
"James Nga-Kwok Liu" 1 0 0 0 0 0
"James Norris" 0 0 0 0 0 1
"James Notwell" 1 0 0 0 0 0
"James O'Reilly" 0 0 1 0 0 0
"James Oldfield" 0 0 1 0 0 0
"James Orwell" 0 0 1 0 0 0
"James P. Bailey" 0 0 0 0 2 0
"James P. Callan" 0 1 0 0 1 0
"James P. Carson" 0 0 1 0 0 0
"James P. G. Sterbenz" 0 0 0 4 0 0
"James P. Mammen" 0 0 0 2 0 0
"James P. Ostrowski" 0 0 1 0 0 0
"James P. Parkerson" 0 0 0 1 0 0
"James P. Rogers" 2 0 0 0 0 0
"James P. Williams 0001" 0 0 1 0 0 0
"James Paulos" 0 0 0 0 1 0
"James Peng Zheng" 0 0 0 2 0 0
"James Petterson" 0 0 0 0 8 0
"James Philbin" 0 0 6 0 0 0
"James Pinkerton" 0 0 0 0 1 0
"James Powell" 1 0 0 0 0 0
"James Priest" 0 0 0 0 1 0
"James Pritts" 0 0 2 0 0 0
"James Quinn" 0 0 0 1 0 0
"James R. Ashford" 1 0 0 0 0 0
"James R. Bergen" 0 0 1 0 0 0
"James R. Curran" 1 0 0 0 0 0
"James R. Foulds" 2 0 0 0 2 0
"James R. Glass" 0 0 2 0 4 0
"James R. Hamilton" 0 2 0 1 0 0
"James R. Lee" 0 0 0 0 1 31
"James R. Voss" 0 0 0 0 5 0
"James R. Wright" 0 0 0 0 1 0
"James R. Zeidler" 0 0 0 1 0 0
"James Requeima" 0 0 0 0 4 0
"James Rhodes" 0 1 0 0 0 0
"James Ridgway" 0 0 0 0 1 0
"James Riely" 0 0 0 0 0 4
"James Robert Lloyd" 0 0 0 0 5 0
"James Roberts" 0 0 0 5 0 0
"James Robinson" 0 0 0 0 1 0
"James Rucker" 0 1 0 0 0 0
"James S. Duncan" 0 0 11 0 2 0
"James S. Royer" 0 0 0 0 1 0
"James Saunderson" 0 0 0 0 2 0
"James Schummers" 0 0 0 0 1 0
"James Scott" 0 0 0 3 0 0
"James Scott Broadhead" 0 0 0 1 0 0
"James Shanahan" 2 0 0 0 0 0
"James Sharpnack" 2 0 0 0 7 0
"James Steven Supancic III" 0 0 2 0 0 0
"James Swee Chuan Tan" 1 0 0 0 0 0
"James Sweet" 0 0 0 1 0 0
"James T. Koshimoto" 0 0 0 1 0 0
"James T. Kwok" 8 0 3 0 29 0
"James T. Rayfield" 0 0 1 0 0 0
"James T. Wilson" 1 0 0 0 3 0
"James Terry" 0 1 0 0 0 0
"James Theiler" 0 0 0 0 3 0
"James Thewlis" 0 0 1 0 2 0
"James Tin-Yau Kwok" 1 0 1 0 8 0
"James Tompkin" 0 0 5 0 1 0
"James Tsai" 0 0 0 1 0 0
"James Tu" 0 0 1 0 0 0
"James Urquhart Allingham" 0 0 0 0 1 0
"James V. Haxby" 0 0 0 0 2 0
"James Vaughn" 0 0 0 1 0 0
"James W. Davis" 0 0 13 0 0 0
"James W. Mickens" 0 0 0 1 0 0
"James W. Modestino" 0 0 0 2 0 0
"James W. Roberts" 0 0 0 4 0 0
"James W. Taylor" 0 0 0 0 1 0
"James W. Warner" 0 2 0 0 0 0
"James Waskiewicz" 0 0 0 0 1 0
"James Wei Luen Yip" 1 0 0 0 0 0
"James Wexler" 0 0 0 0 2 0
"James Widdicombe" 0 0 0 0 1 0
"James Willson" 0 0 0 5 0 0
"James Wilson" 0 0 1 0 0 0
"James Won-Ki Hong" 0 0 0 2 0 0
"James Worrell 0001" 0 0 0 0 1 29
"James Y. Zou" 0 0 0 0 12 0
"James Yungjen Tung" 0 0 1 0 0 0
"James Z. Wang" 1 0 1 0 0 0
"James Ze Wang" 1 1 2 0 1 0
"James Zou" 0 0 0 0 6 0
"James Zou 0001" 0 0 0 0 2 0
"James von Brecht" 0 0 0 0 2 0
"Jameson L. Toole" 1 0 0 0 0 0
"Jameson Weng" 0 0 0 0 1 0
"Jamie A. Smith" 0 0 0 0 1 0
"Jamie Callan" 7 0 0 0 0 0
"Jamie Davidson" 1 0 0 0 0 0
"Jamie F. Olson" 2 0 0 0 0 0
"Jamie H. Morgenstern" 0 0 0 0 5 0
"Jamie Haddock" 0 0 0 0 0 1
"Jamie Hayes" 0 0 2 0 2 0
"Jamie Hoover" 1 0 0 0 0 0
"Jamie Kiros" 0 0 0 0 2 0
"Jamie L. Rothfeder" 0 0 1 0 0 0
"Jamie Menjay Lin" 0 0 0 0 1 0
"Jamie Morgenstern" 0 0 0 0 5 2
"Jamie Pool" 1 0 0 0 0 0
"Jamie R. Lyle" 0 0 1 0 0 0
"Jamie Ray" 0 0 1 0 0 0
"Jamie Schiel" 0 0 1 0 0 0
"Jamie Sherrah" 0 0 1 0 0 0
"Jamie Shotton" 0 0 16 0 1 0
"Jamie Sikora" 0 0 0 0 0 1
"Jamie Smith" 1 0 0 0 0 0
"Jamie Stanton" 0 0 1 0 0 0
"Jamie Taylor" 1 1 0 0 0 0
"Jamie Watson" 0 0 1 0 0 0
"Jamie Yap" 0 0 0 0 1 0
"Jamie Zeitzer" 1 0 0 0 0 0
"Jamieson Warner" 0 0 1 0 0 0
"Jamil Drarni" 0 0 2 0 0 0
"Jamison Daniel" 1 0 0 0 0 0
"Jamshaid Ashraf" 1 0 0 0 0 0
"Jamshid A. Vayghan" 1 0 0 0 0 0
"Jamuna Kanta Sing" 0 0 1 0 0 0
"Jan A. Botha" 0 0 0 0 1 0
"Jan Arne Telle" 0 0 0 0 0 4
"Jan B. F. van Erp" 1 0 0 0 0 0
"Jan Bakus" 1 0 0 0 0 0
"Jan Bauwens" 0 0 0 2 0 0
"Jan Bednark" 0 0 1 0 0 0
"Jan Ben" 0 0 0 0 1 0
"Jan Benda" 0 0 0 0 1 0
"Jan Beutel" 0 0 0 1 0 0
"Jan Brase" 1 0 0 0 0 0
"Jan Bttger" 0 0 0 3 0 0
"Jan Bulnek" 0 0 0 0 0 2
"Jan C. van Gemert" 0 0 8 0 0 0
"Jan Camenisch" 0 0 0 0 0 1
"Jan Cech" 0 0 5 0 0 0
"Jan Chomicki" 0 2 0 0 0 0
"Jan Chorowski" 0 0 0 0 2 0
"Jan Claassen" 2 0 0 0 0 0
"Jan Czarnowski" 0 0 1 0 0 0
"Jan D. Wegner" 0 0 2 0 0 0
"Jan Deprest" 0 0 1 0 0 0
"Jan Deriu" 1 0 0 0 0 0
"Jan Dirk Wegner" 0 0 4 0 0 0
"Jan Draisma" 0 0 0 0 0 1
"Jan Dreier" 0 0 0 0 0 1
"Jan Drugowitsch" 0 0 0 0 2 0
"Jan Ehmueller" 0 1 0 0 0 0
"Jan Eichhorn" 0 0 0 0 1 0
"Jan Eric Lenssen" 0 0 2 0 1 0
"Jan Erik Solem" 0 0 4 0 1 0
"Jan Ernst" 0 0 4 0 2 0
"Jan F. Prins" 4 0 0 0 0 0
"Jan Feyereisl" 0 0 0 0 1 0
"Jan Finis" 0 2 0 0 0 0
"Jan Fornoff" 0 0 0 2 0 0
"Jan Funke" 0 0 1 0 0 0
"Jan Gasthaus" 2 2 0 0 7 0
"Jan Goedgebeur" 0 0 0 0 0 1
"Jan Grewe" 0 0 0 0 1 0
"Jan H. M. Korst" 0 0 0 0 0 1
"Jan Hackfeld" 0 0 0 0 0 2
"Jan Hazla" 0 0 0 0 1 0
"Jan Heller" 0 0 6 0 0 0
"Jan Hendrik Hosang" 0 0 4 0 0 0
"Jan Hendrik Metzen" 0 0 1 0 2 0
"Jan Hidders" 0 4 0 0 0 1
"Jan Homann" 0 0 0 0 1 0
"Jan Janak" 0 0 0 1 0 0
"Jan Johannsen" 0 0 0 0 0 3
"Jan Kautz" 0 0 41 0 11 0
"Jan Kberich" 0 0 0 2 0 0
"Jan Khler" 0 0 0 0 1 0
"Jan Knopp" 0 0 2 0 0 0
"Jan Kossmann" 0 2 0 0 0 0
"Jan Kotera" 0 0 2 0 0 0
"Jan Kouba" 0 0 0 1 0 0
"Jan Koutnk" 0 0 0 0 2 0
"Jan Kra" 0 0 0 0 0 2
"Jan Kratochvl" 0 0 0 0 0 7
"Jan Krol" 0 0 0 1 0 0
"Jan Kulveit" 0 0 0 0 1 0
"Jan Kuske" 0 0 1 0 0 0
"Jan Kybic" 0 0 4 0 0 0
"Jan Kyncl" 0 0 0 0 0 3
"Jan Leike" 0 0 0 0 4 0
"Jan Lellmann" 0 0 2 0 0 0
"Jan Lindblom" 0 0 0 1 0 0
"Jan Lovie-Kitchin" 1 0 0 0 0 0
"Jan Lubbe" 0 0 0 1 0 0
"Jan M. Hochstein" 0 0 0 0 0 1
"Jan M. Khler" 0 0 2 0 0 0
"Jan Malte Lichtenberg" 0 0 0 0 2 0
"Jan Markus Brauner" 0 0 0 0 1 0
"Jan Medved" 0 0 0 1 0 0
"Jan N. van Rijn" 3 0 0 0 0 0
"Jan Neerbek" 0 0 0 0 0 1
"Jan Neumann" 0 0 4 0 0 0
"Jan Niklas Kolf" 0 0 1 0 0 0
"Jan O. Pedersen 0001" 5 2 0 0 0 0
"Jan Obdrzlek" 0 0 0 0 0 3
"Jan Odvarko" 1 0 0 0 0 0
"Jan Ole Vollmer" 0 1 0 0 0 0
"Jan Otop" 0 0 0 0 0 1
"Jan Overgoor" 2 0 0 0 0 0
"Jan P. Allebach" 0 0 2 0 0 0
"Jan Padeken" 0 0 1 0 0 0
"Jan Paredaens" 0 3 0 0 0 1
"Jan Pennekamp" 1 0 0 1 0 0
"Jan Peters 0001" 0 0 0 0 19 0
"Jan Pfeifer" 1 0 0 0 3 0
"Jan Pieper" 2 1 0 0 0 0
"Jan Poland" 0 0 0 0 1 0
"Jan Prokaj" 0 0 5 0 0 0
"Jan Puzicha" 0 0 1 0 3 0
"Jan R. Benetka" 1 0 0 0 0 0
"Jan Ramon" 3 0 0 0 2 0
"Jan Reininghaus" 0 0 1 0 0 0
"Jan Remy" 0 0 0 0 0 1
"Jan Reubold" 1 0 0 1 0 0
"Jan Rittinger" 0 6 0 0 0 0
"Jan Rth" 0 0 0 8 0 0
"Jan S. Rellermeyer" 0 1 0 0 0 0
"Jan Schaffner" 0 1 0 0 0 0
"Jan Schlichter" 0 0 0 1 0 0
"Jan Schwinghammer" 0 0 0 0 0 1
"Jan Seedorf" 0 0 0 1 0 0
"Jan Sochman" 0 0 1 0 0 0
"Jan Struyf" 0 0 0 0 1 0
"Jan Stutzki" 0 1 0 0 0 0
"Jan Svoboda" 0 0 2 0 0 0
"Jan T. Offermann" 0 0 0 0 1 0
"Jan Trienes" 1 0 0 0 0 0
"Jan Vahrenhold" 1 0 0 0 0 0
"Jan Van Der Lugt" 0 1 0 0 0 0
"Jan Van Haaren" 3 0 0 0 0 0
"Jan Van den Bussche" 3 13 0 0 0 1
"Jan Vondrk" 0 1 0 0 5 27
"Jan Xu" 0 0 1 0 0 0
"Jan van den Brand" 0 0 0 0 0 6
"Jan van den Heuvel" 0 0 0 0 0 1
"Jan vandenBerg" 0 1 0 0 0 0
"Jan-Dirk Becker" 0 1 0 0 0 0
"Jan-Eric Litton" 0 1 0 0 0 0
"Jan-Hendrik Lange" 0 0 2 0 2 0
"Jan-Hendrik Zab" 1 0 0 0 0 0
"Jan-Hinrich Hauer" 0 0 0 1 0 0
"Jan-Mark Geusebroek" 0 0 3 0 1 0
"Jan-Mathijs Schoffelen" 0 0 0 0 1 0
"Jan-Matthis Lueckmann" 0 0 0 0 1 0
"Jan-Michael Frahm" 0 0 35 0 0 0
"Jan-Ming Ho" 2 0 0 1 0 0
"Jan-Olof Eklundh" 0 0 4 0 0 0
"Jan-Peter Calliess" 0 0 0 0 1 0
"Jan-Peter Richter" 0 0 0 1 0 0
"Jan-Willem van de Meent" 0 0 0 0 6 0
"Jana Giceva" 0 2 0 0 0 0
"Jana Koseck" 0 0 2 0 0 0
"Jana Kosecka" 0 0 8 0 0 0
"Jana Kostliv" 0 0 1 0 0 0
"Jana Noskova" 0 0 2 0 0 0
"Jana Schaich Borg" 0 0 0 0 2 0
"Jana Schmidt" 3 0 0 0 0 0
"Jana Z. Sedivy" 0 0 0 1 0 0
"Janaina Mouro Miranda" 0 0 0 0 2 0
"Janani Balaji" 1 1 0 0 0 0
"Janani Kalyanam" 2 0 0 0 0 0
"Janani Padmanabhan" 1 0 0 0 0 0
"Janara M. Christensen" 1 0 0 0 0 0
"Janardhan Kulkarni" 0 0 0 1 6 16
"Janardhan R. Iyengar" 1 0 0 1 0 0
"Janardhan Rao Doppa" 2 0 1 0 3 0
"Janarthanan Rajendran" 0 0 0 0 2 0
"Jane Gatewood" 1 0 0 0 0 0
"Jane H. Lee" 0 0 0 0 1 0
"Jane Hung" 0 0 0 0 2 0
"Jane Hunter" 1 0 0 0 0 0
"Jane Jia You" 1 0 0 0 0 0
"Jane Jing" 1 0 0 0 0 0
"Jane Lange" 0 0 0 0 3 0
"Jane Louie Fresco Zamora" 0 0 0 1 0 0
"Jane M. Rondina" 0 0 0 0 1 0
"Jane MacFarlane" 0 0 1 0 0 0
"Jane Mulligan" 0 0 2 0 0 0
"Jane Reichel" 0 1 0 0 0 0
"Jane X. Wang" 0 0 0 0 1 0
"Jane You" 0 0 6 0 0 0
"Jane Yung-jen Hsu" 3 0 0 0 0 0
"Janelle J. Harms" 0 0 0 1 0 0
"Janet J.-C. Chen" 0 0 0 1 0 0
"Janet Kelso" 1 0 0 0 0 0
"Janet Kim" 0 0 2 0 0 0
"Janet L. Wiener" 4 6 0 0 0 0
"Janet Mann" 1 0 0 0 0 0
"Janet Meiling Wang Roveda" 0 0 0 1 0 0
"Janet Tseng" 0 0 0 1 0 0
"Janet Zhu" 1 0 0 0 0 0
"Janette Lehmann" 4 0 0 0 0 0
"Janez Brank" 2 0 0 0 0 0
"Janez Demsar" 1 0 0 0 1 0
"Jang Ho Park" 0 1 0 0 0 0
"Jang-Hwan Choi" 0 0 1 0 0 0
"Jang-Hyun Kim" 0 0 0 0 1 0
"Jang-Ping Sheu" 0 0 0 2 0 0
"Jang-Won Lee" 0 0 0 6 1 0
"Jangeun Jun" 0 0 0 1 0 0
"Jangho Kim" 0 0 1 0 3 0
"Jangho Lee" 0 0 1 0 0 0
"Janghoon Cho" 0 0 1 0 0 0
"Janghoon Choi" 0 0 1 0 1 0
"Janghyeon Lee" 0 0 1 0 0 0
"Jangmin O" 0 0 0 0 1 0
"Jangsoo Lee" 1 0 0 0 0 0
"Jangwon Lee" 0 0 2 4 0 0
"Jangwon Seo" 1 0 0 0 0 0
"Jani Lainema" 0 0 4 0 0 0
"Jani Mntyjrvi" 1 0 0 0 0 0
"Janice Chen" 0 0 0 0 1 0
"Janice Lan" 0 0 0 0 2 0
"Janice Pan" 0 0 1 0 0 0
"Janina Lscher" 0 0 0 1 0 0
"Janine Thoma" 0 0 2 0 1 0
"Janis Iraids" 0 0 0 0 0 1
"Janis Kalofolias" 3 0 0 0 0 0
"Janis Keuper" 0 0 1 0 0 0
"Janis Wolak" 1 0 0 0 0 0
"Janis von Bleichert" 0 1 0 0 0 0
"Janise McNair" 0 0 0 2 0 0
"Janith Weerasinghe" 1 0 0 0 0 0
"Janna Burman" 0 0 0 1 0 0
"Janna Escur" 0 0 1 0 0 0
"Janna Tokotoko" 1 0 0 0 0 0
"Janne H. Korhonen" 0 0 0 0 2 1
"Janne Heikkil" 0 0 5 0 0 0
"Janne Hellsten" 0 0 1 0 1 0
"Janne Karttunen" 0 0 0 0 1 0
"Janne Lehtomki" 0 0 0 1 0 0
"Janne Lindqvist" 0 0 0 3 0 0
"Janne Riihijrvi" 0 0 0 3 0 0
"Janne Sinkkonen" 0 0 0 0 1 0
"Janne Toivola" 2 0 0 0 0 0
"Jannick Kirk Srensen" 2 0 0 0 0 0
"Jannick P. Rolland" 0 0 1 0 0 0
"Jannik Matuschke" 0 0 0 0 0 3
"Jannik Strtgen" 15 0 0 0 0 0
"Jannis Born" 0 0 0 0 1 0
"Janos Doka" 0 0 0 2 0 0
"Janos Simon" 0 0 0 0 0 2
"Janos Szurdi" 0 0 0 1 0 0
"Janosch Nikolic" 0 0 1 0 0 0
"Jansen Christian Liando" 0 0 0 3 0 0
"Janus Varmarken" 0 0 0 4 0 0
"Janusz Konrad" 0 0 12 0 0 0
"Jaonary Rabarisoa" 0 0 2 0 1 0
"Jaouad Mourtada" 0 0 0 0 1 0
"Japinder Singh" 1 0 0 0 0 0
"Jara Uitto" 0 0 0 0 0 9
"Jared B. Bowden" 0 0 1 0 0 0
"Jared Casper" 0 0 0 0 1 0
"Jared Davis" 0 0 0 0 1 0
"Jared Dulmage" 0 0 0 1 0 0
"Jared Dunnmon" 0 1 0 0 2 0
"Jared Evans" 0 1 0 0 0 0
"Jared Heinly" 0 0 1 0 0 0
"Jared Kaplan" 0 0 0 0 1 0
"Jared Keller 0001" 0 0 1 0 0 0
"Jared Miller" 0 0 0 0 1 0
"Jared Quincy Davis" 0 0 0 0 1 0
"Jared Saia" 2 0 0 0 0 9
"Jared Stokes" 0 0 0 1 0 0
"Jared Webb" 2 0 0 0 0 0
"Jarek Gryz" 0 5 0 0 0 0
"Jarek Wilkiewicz" 1 0 0 0 0 0
"Jarett Schwartz" 0 0 0 0 0 1
"Jari Arkko" 0 0 0 1 0 0
"Jari Hannuksela" 0 0 2 0 0 0
"Jari Jrvi" 0 0 0 0 1 0
"Jarkko Kari" 0 0 0 0 0 3
"Jarkko Salojrvi" 0 0 0 0 1 0
"Jarmo Harju" 0 0 0 1 0 0
"Jarmo Hillo" 0 0 0 1 0 0
"Jarmo Hurri" 0 0 0 0 2 0
"Jarno Alanko" 0 0 0 0 0 1
"Jarno Nikkanen" 0 0 1 0 0 0
"Jarno Rajahalme" 0 0 0 3 0 0
"Jarno Vanhatalo" 0 0 0 0 1 0
"Jarod Roland" 0 0 0 0 1 0
"Jarod Wen" 0 1 0 0 0 0
"Jaron Couvreur" 0 0 0 1 0 0
"Jaron Fontaine" 0 0 0 2 0 0
"Jaroslav M. Fowkes" 1 0 0 0 0 0
"Jaroslav Nesetril" 0 0 0 0 0 4
"Jaroslav Opatrny" 0 0 0 0 0 5
"Jaroslaw Blasiok" 1 0 0 0 0 6
"Jaroslaw Byrka" 0 0 0 1 0 11
"Jaroslaw Szlichta" 0 1 0 0 0 0
"Jarred Kozlick" 1 0 0 0 0 0
"Jarrell W. Waggoner" 0 0 4 0 0 0
"Jarret Falkner" 0 0 0 1 0 0
"Jarret Ross" 0 0 0 0 1 0
"Jarrod Moore" 1 0 0 0 0 0
"Jarutas Pattanaphanchai" 1 0 0 0 0 0
"Jarvis D. Haupt" 0 0 0 0 4 0
